playerId,playerName,gamesRest,medianGamesRest,avgFantasyPts,boomFantasyPoints
668678,Zac Gallen,4,4.0,30.095238095238095,47.0
681857,Reese Olson,4,4.0,32.25,45.0
663623,Jake Irvin,4,4.0,25.571428571428573,41.0
542881,Tyler Anderson,5,4.0,22.9,33.5
690986,Kyle Harrison,4,4.0,18.142857142857142,24.0
662253,Andrés Muñoz,3,2.0,15.487804878048781,22.0
547973,Aroldis Chapman,2,1.0,15.270833333333334,21.25
670280,David Bednar,3,1.0,13.609756097560975,21.0
661403,Emmanuel Clase,2,2.0,12.914893617021276,21.0
661395,Jhoan Duran,3,1.0,11.294117647058824,20.5
656945,Tanner Scott,1,1.0,11.717391304347826,19.0
650556,Bryan Abreu,2,1.0,12.638297872340425,18.0
666808,Camilo Doval,1,1.0,11.0,17.75
676395,Robert Garcia,1,1.0,10.065217391304348,17.5
669093,Jeremiah Estrada,2,1.0,11.098039215686274,17.5
592426,Luke Jackson,2,2.0,6.875,15.25
642701,Dennis Santana,2,1.399999999999999,9.8222222222222229,15.0
554340,Yimi García,3,1.0,9.19047619047619,15.0
681911,Alex Vesia,2,1.0,11.06,15.0
669622,Anthony Bender,4,1.7999999999999989,8.75,15.0
657044,Ryan Thompson,2,2.0,7.3157894736842106,14.75
621381,Matt Strahm,4,1.0,9.2272727272727266,14.0
595014,Blake Treinen,1,1.0,9.11111111111111,14.0
455119,Chris Martin,1,1.0,7.7631578947368425,14.0
657097,Jacob Webb,2,2.0,6.9268292682926829,14.0
689147,Orion Kerkering,6,1.0,8.0,14.0
664875,Justin Lawrence,1,1.0,11.1,13.75
656222,Jalen Beeks,5,1.0,7.9772727272727275,13.25
702674,Caden Dana,1,1.0,13.0,13.0
571948,Hoby Milner,1,1.0,7.1836734693877551,13.0
668674,Lucas Erceg,1,1.0,8.4090909090909083,13.0
655889,Manuel Rodríguez,1,1.0,7.666666666666667,13.0
592155,Cam Booser,1,1.0,5.4827586206896548,13.0
669211,Keegan Akin,2,1.0,7.5641025641025639,13.0
643511,Tyler Rogers,1,1.0,7.884615384615385,13.0
669711,Greg Weissert,3,1.0,7.0816326530612246,13.0
640451,Hunter Harvey,1,1.0,9.375,13.0
664076,Garrett Cleavinger,2,2.0,9.6428571428571423,12.75
656464,Kevin Ginkel,6,1.0,6.0740740740740744,12.5
680767,Victor Vodnik,1,1.0,7.4375,12.25
573204,Caleb Thielbar,1,1.0,7.8444444444444441,12.0
573124,Taylor Rogers,2,2.0,6.7435897435897436,11.5
621383,Tanner Banks,1,1.0,6.7173913043478262,11.0
669674,Sam Long,1,1.0,3.736842105263158,10.5
605347,Jorge López,2,1.0,5.48,10.0
663485,Cole Sands,1,1.0,6.2045454545454541,10.0
657612,Tim Hill,2,1.0,5.56,9.75
570632,José Ureña,5,2.3999999999999995,5.25,9.75
472610,Luis García,3,1.0,5.0810810810810807,9.0
519326,Hunter Strickland,1,1.0,5.833333333333333,8.75
683409,Angel Chivilli,2,2.0,3.76,8.0
678821,Luis Peralta,3,1.1999999999999997,0.875,8.0
660896,Jorge Alcala,2,2.0,5.0,8.0
608334,Carson Fulmer,1,1.0,7.333333333333333,8.0
606965,Chris Devenski,2,1.0,6.4,8.0
621199,Matt Bowman,1,1.0,3.2777777777777777,7.0
693312,Kyle Nicolas,2,2.0,3.1111111111111112,6.0
573009,Joe Mantiply,2,1.7999999999999998,-2.2222222222222223,6.0
700187,Troy Taylor,3,1.0,-0.42857142857142855,3.0
656420,J.P. Feyereisen,2,2.0,-2.6666666666666665,-1.0
690925,Clayton Beeter,4,2.0,-2.0,-2.0
605513,Spencer Turnbull,4,2.6,-4.5,-3.75