gameDate,playerName,didPlay,hilltopperPts,daysRest
2025-07-11T00:00:00,Abner Uribe,FALSE,,
2025-07-12T00:00:00,Abner Uribe,TRUE,-7,
2025-07-13T00:00:00,Abner Uribe,FALSE,,
2025-07-18T00:00:00,Abner Uribe,TRUE,9,5
2025-07-19T00:00:00,Abner Uribe,FALSE,,
2025-07-20T00:00:00,Abner Uribe,TRUE,14,1
2025-07-21T00:00:00,Abner Uribe,FALSE,,
2025-07-22T00:00:00,Abner Uribe,TRUE,2,1
2025-07-23T00:00:00,Abner Uribe,FALSE,,
2025-07-25T00:00:00,Abner Uribe,FALSE,,
2025-07-26T00:00:00,Abner Uribe,FALSE,,
2025-07-27T00:00:00,Abner Uribe,TRUE,2,4